Epoch	Loss
10	0.836624
20	0.298602
30	0.743840
40	0.928022
50	0.395712
60	0.232657
70	0.217403
80	0.208675
90	0.206241
100	0.205500
110	0.200067
120	0.191281
130	0.163739
140	0.136777
150	0.123639
160	0.116604
170	0.111891
180	0.109296
190	0.107400
200	0.105801
210	0.104276
220	0.101908
230	0.097861
240	0.095238
250	0.093499
260	0.091785
270	0.090116
280	0.088537
290	0.087431
300	0.085891
310	0.084746
320	0.084554
330	0.082789
340	0.082119
350	0.081602
360	0.080825
370	0.080328
380	0.079869
390	0.081320
400	0.080588
410	0.078196
420	0.077910
430	0.077323
440	0.077114
450	0.082716
460	0.076278
470	0.075926
480	0.075602
490	0.075378
500	0.074987
